파다, 81, 186
파마, 59, 180
사차, 41, 175
바마, 91, 156
나바, 89, 197
사타, 90, 181
바가, 89, 170
마사, 52, 152
사다, 65, 178
가바, 83, 154
아하, 83, 188
차사, 97, 174
하파, 76, 177
아사, 99, 175
하타, 91, 171
바파, 42, 176
라바, 57, 160
파바, 88, 141
바라, 44, 170
나파, 84, 188
아하, 94, 165
다아, 74, 164
바사, 97, 148
바나, 89, 148
아파, 80, 151
다자, 80, 176
카나, 97, 176
사나, 54, 188
사타, 57, 181
마라, 69, 152
아차, 96, 167
차자, 48, 167
라라, 89, 169
하사, 91, 147
카라, 82, 167
바가, 45, 199
마가, 40, 141
마차, 47, 165
차라, 48, 149
바파, 68, 157
가자, 46, 146
아나, 57, 151
나사, 55, 150
가파, 53, 144
사파, 80, 195
가하, 90, 177
아마, 78, 144
파자, 43, 193
타자, 86, 191
바차, 83, 199
사아, 73, 174
마카, 86, 192
바나, 87, 150
사라, 98, 183
아차, 40, 159
파가, 51, 189
바마, 73, 159
아차, 44, 145
타카, 89, 181
하가, 98, 159
라마, 70, 176
바카, 71, 153
마타, 63, 193
라자, 97, 151
사라, 73, 188
카마, 53, 161
카차, 50, 153
타하, 47, 169
파카, 46, 150
차가, 88, 187
가하, 62, 146
바아, 89, 141
사다, 50, 161
마나, 76, 174
차마, 98, 170
바파, 69, 171
라카, 62, 162
사파, 49, 149
라자, 83, 149
바아, 52, 144
마아, 87, 182
라다, 60, 142
차하, 49, 170
자다, 82, 181
가하, 55, 194
바파, 70, 142
자차, 51, 190
타다, 70, 176
나차, 79, 185
가카, 58, 196
차자, 50, 199
사마, 47, 189
나가, 58, 155
자마, 48, 186
자다, 91, 199
파마, 57, 197
파나, 71, 160
파마, 47, 180
아하, 98, 166
하사, 86, 164
타바, 88, 168
나가, 52, 153
바차, 63, 153
라파, 70, 147
바아, 87, 175
마카, 84, 144
사바, 68, 154
나파, 86, 146
하파, 99, 181
다라, 57, 151
아카, 68, 189
가카, 48, 172
가마, 75, 178
나차, 47, 190
다타, 64, 168
바아, 73, 190
차나, 71, 177
타하, 78, 162
마마, 74, 162
파하, 75, 153
차카, 94, 159
나바, 56, 147
하하, 51, 158
라마, 58, 176
하카, 89, 194
가카, 67, 186
라나, 64, 153
차파, 86, 197
파차, 90, 199
카사, 76, 160
다나, 61, 181
나자, 56, 193
다아, 71, 174
바사, 42, 140
가차, 74, 148
가마, 91, 169
카다, 82, 181
마사, 99, 183
라사, 86, 154
타나, 57, 178
파차, 65, 180
아카, 86, 150
마라, 83, 141
차마, 43, 153
마자, 49, 157
아사, 68, 173
타바, 54, 181
다하, 89, 187
자다, 95, 197
아가, 73, 161
하라, 63, 185
가나, 98, 150
타사, 45, 141
하하, 97, 192
라타, 78, 199
사하, 72, 194
하타, 65, 153
카마, 66, 186
자파, 63, 191
